time;LTFT add. B1;LTFT add. B2;LTFT mul. B1;LTFT mul. B2;InjTmCyl1;STFT B1;STFT B2;Coolant;Lambda B1;Lambda B2;RPM
3414;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3455;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3494;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3534;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3573;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3612;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3653;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3693;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3734;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3774;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3813;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3853;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3893;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3934;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3974;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4013;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4053;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4093;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4134;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4173;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4214;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4253;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4293;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4333;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4373;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4414;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4454;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4495;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4533;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4573;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4615;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4654;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4695;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4734;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4775;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4813;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4853;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4894;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4934;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
4974;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
5013;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
5054;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
5095;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
