ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
IDMMS	0x5877	STAT_DIFFERENZ_MAX_MIN_SAF_WERT	Differenz zwischen Maximum und Minimum SAF	SAF_KGH_DIF	unsigned char	-	kg/h	
ILRR1	0x5878	STAT_LAMBDAVERSCHIEBUNG_RUECKFUEHRREGLER1_WERT	Lambdaverschiebung Rückführregler 1	LAMB_DELTA_I_LAM_ADJ_KWP[1]	signed char	-	-	
ILRR2	0x5879	STAT_LAMBDAVERSCHIEBUNG_RUECKFUEHRREGLER2_WERT	Lambdaverschiebung Rückführregler 2	LAMB_DELTA_I_LAM_ADJ_KWP[2]	signed char	-	-	
ISFGR	0x587A	STAT_FGR_WERT	Status FGR	STATE_CRU	0xFF	_CNV_S_6_RANGE_STAT_106	0-n	
ISMST	0x587C	STAT_MOTORSTEUERUNG_WERT	Status Motorsteuerung	ECU_STATE	0xFF	_CNV_S_7_RANGE_ECU__142	0-n	
-	0x587D	STAT_0x587D_WERT	Symptom bei Schubabschaltung Sonde vor Kat Bank 1	STATE_SYM_DIAG_PUC_LSL_UP[1]	0xFF	_CNV_S_4_EGCP_RANGE_739	0-n	
-	0x587E	STAT_0x587E_WERT	Symptom bei Schubabschaltung Sonde vor Kat Bank 2	STATE_SYM_DIAG_PUC_LSL_UP[2]	0xFF	_CNV_S_4_EGCP_RANGE_739	0-n	
IELTV	0x587F	STAT_E_LUEFTER_TASTVERHAELTNIS_WERT	Tastverhaeltnis E-Lüfter	ECFPWM[0]	unsigned char	-	%	
-	0x5880	STAT_0x5880_WERT	Tastverhältnis: Luftklappe	ECRASPWM	unsigned char	-	%	
SBEGA	0x5881	STAT_BERECHNETER_GANG_WERT	berechneter Gang	GEAR	unsigned char	-	-	
ITMOS	0x5882	STAT_MOTORTEMPERATUR_BEIM_START_WERT	Motortemperatur beim Start	TCO_ST	unsigned char	-	°C	
-	0x5883	STAT_0x5883_WERT	Spannung Klopfwerte Zylinder 1	NL[0]	unsigned char	-	V	
-	0x5885	STAT_0x5885_WERT	Spannung Klopfwerte Zylinder 3	NL[2]	unsigned char	-	V	
-	0x5886	STAT_0x5886_WERT	Spannung Klopfwerte Zylinder 6	NL[3]	unsigned char	-	V	
-	0x5888	STAT_0x5888_WERT	Spannung Klopfwerte Zylinder 4	NL[5]	unsigned char	-	V	
ILAG1	0x5889	STAT_LAMBDA_ISTWERT_GRUPPE1_WERT	Lambda-Istwert Gruppe 1	LAMB_KWP[1]	unsigned char	-	-	
ILAG2	0x588A	STAT_LAMBDA_ISTWERT_GRUPPE2_WERT	Lambda-Istwert Gruppe 2	LAMB_KWP[2]	unsigned char	-	-	
IZSSE	0x588B	STAT_ZEIT_SEIT_STARTENDE_WERT	Zeit seit Startende	T_AST	unsigned char	-	s	
ITKV1	0x588C	STAT_LAMBDASONDE_KERAMIKTEMPERATUR_VORKAT1_WERT	Keramiktemperatur Lambdasonde VK 1	TTIP_MES_LS_UP[1]	signed char	-	°C	
IZDML	0x588D	STAT_ZEIT_DMTL_LECKMESSUNG_WERT	aktuelle Zeit DMTL Leckmessung	T_ACT_LEAK_MES	unsigned char	-	s	
IIDMP	0x588E	STAT_PUMPENSTROM_BEI_DMTL_PUMPENPRUEFUNG_WERT	Pumpenstrom bei DMTL Pumpenprüfung	CUR_DMTL_DMTLS_TEST	unsigned char	-	mA	
ITKV2	0x588F	STAT_LAMBDASONDE_KERAMIKTEMPERATUR_VORKAT2_WERT	Keramiktemperatur Lambdasonde VK 2	TTIP_MES_LS_UP[2]	signed char	-	°C	
IMOKU	0x5891	STAT_MOMENTANFORDERUNG_KUPPLUNG_WERT	Momentanforderung an der Kupplung	TQ_REQ_CLU	signed char	-	Nm	
IDMGW	0x5893	STAT_DREHMOMENTABFALL_BEIM_GANGWECHSEL_WERT	Drehmomentabfall schnell bei Gangwechsel	TQI_GS_FAST_DEC	signed char	-	Nm	
-	0x5894	STAT_0x5894_WERT	Symptom Lambdasondenheizung vor Kat Bank 1	STATE_SYM_OBD_LSL_LSH_UP[1]	0xFF	_CNV_S_4_EGCP_RANGE_732	0-n	
-	0x5895	STAT_0x5895_WERT	Symptom Lambdasondenheizung vor Kat Bank 2	STATE_SYM_OBD_LSL_LSH_UP[2]	0xFF	_CNV_S_4_EGCP_RANGE_732	0-n	
-	0x5896	STAT_0x5896_WERT	Abgastemperatur nach Kat Bank 1	TEG_CAT_DOWN_MDL[1]	unsigned char	-	°C	
-	0x5897	STAT_0x5897_WERT	Abgastemperatur nach Kat Bank 2	TEG_CAT_DOWN_MDL[2]	unsigned char	-	°C	
SUGEN	0x5898	STAT_GENERATOR_SPANNUNG_SOLL_WERT	Generator Sollspannung	V_ALTER_SP_KWP	unsigned char	-	V	
-	0x5899	STAT_0x5899_WERT	Istwert DISA-Position	VIM_AV	unsigned char	-	%	
IUOS1	0x589B	STAT_SPANNUNGSOFFSET_SIGNALPFAD1_WERT	Spannungsoffset Signalpfad CJ120 1	VLS_OFS_LSL_KWP[1]	signed char	-	V	
IUOS2	0x589C	STAT_SPANNUNGSOFFSET_SIGNALPFAD2_WERT	Spannungsoffset Signalpfad CJ120 2	VLS_OFS_LSL_KWP[2]	signed char	-	V	
